Artist	Music	Lyrics	Compilation	Title	Type	State	File	Comments	Archive	Original	Genre	Misc. info	Misc. 2	Language	Category	Artist 2	Length	Song start	Song end	Intro	Voice out	Loop start	Loop end	Refrain start	Refrain end	Fade in	Fade out	Hot start	Mix in	Flags	Vote	Volume	Period	Media	Attribute	Tempo	Mood	Energy	Bitrate	File format	BPM	Last date played	Last time played	Last type modification	Folder	CRC	CRCTime
ALEKSANDRA RADOVIC				BIVSI DRAGI	RECURENT 08-14		30001322.MPG								RECURENT 08-14		4:31.655	0:00.085	4:28.721	0:22.987									4:27.125	0		62		A					128	MPEG L3-44JP					-31568	-703663403	1245495386
ALEKSANDRA RADOVIC				NEMOJ	RECURENT 08-14		30001603.MPG								RECURENT 08-14		4:08.249	0:00.194	4:04.687	0:19.450									4:02.373	0		64		A					128	MPEG L3-44JP					-31568	-373954711	1245495826
ALEKSANDRA RADOVIC				ZAZMURI	MILENIUM 00-08		30001734.MPG								MILENIUM 00-08		4:17.410	0:00.705	4:16.551	0:13.815									4:10.540	0		67		A					128	MPEG L3-44SP					-31568	-2112024544	1154774374
ALEKSANDRA RADOVIC				ZAGRLI ME	MILENIUM 00-08		30001733.MPG								MILENIUM 00-08		4:02.546	0:00.380	4:01.923	0:07.791									3:58.617	0		67		A					128	MPEG L3-44SP					-31568	-1317790490	1154774370
ALEKSANDRA RADOVIC				GDE JE TU LJUBAV	RECURENT 08-14		30001676.MPG								RECURENT 08-14		4:09.320	0:01.758	4:05.939	0:16.174									4:01.895	0		65		A					128	MPEG L3-44JP					-31568	-1838958793	1245496092
ALEKSANDRA RADOVIC				NI ZADNJI NI PRVI	RECURENT 08-14		30001541.MPG								RECURENT 08-14		4:05.506	0:00.230	4:00.637	0:51.936									3:58.098	0		63		A					128	MPEG L3-44JP					-31568	1528063923	1245495616
ALEKSANDRA RADOVIC				U INAT PROSLOSTI	RECURENT 08-14		30001732.MPG								RECURENT 08-14		3:44.156	0:00.175	3:43.050	0:16.157									3:40.767	0		65		A					320	MPEG L3-44J					-31568	134533575	1292582454
ALEKSANDRA RADOVIC				DA TE NE VOLIM BAR	RECURENT 08-14		30001577.MPG								RECURENT 08-14		4:40.088	0:00.000	4:39.974	0:24.674									4:37.449	0		62		A					256	MPEG L3-44SP					-31568	-669597791	1414329972
ALEKSANDRA RADOVIC				MOZDA JE BOLJE BEZ MENE	MILENIUM 00-08		30001728.MPG								MILENIUM 00-08		4:11.115	0:00.393	4:10.865	0:31.481									4:09.389	0		66		A					128	MPEG L3-44SP					-31568	1158408450	1154774318
ALEKSANDRA RADOVIC				CUVAJ MOJE SRCE	RECURENT 08-14		30001724.MPG								RECURENT 08-14		4:16.208	0:00.602	4:12.341	0:28.707									4:08.025	0		60		A					192	MPEG L3-44JP					-31568	390588276	1338724292
ALEKSANDRA RADOVIC				CUVAM TE	MILENIUM 00-08		30001725.MPG								MILENIUM 00-08		4:35.539	0:00.431	4:35.055	0:41.452									4:30.694	0		67		A					128	MPEG L3-44SP					-31568	-733517704	1154773366
ALEKSANDRA RADOVIC				JESAM TE PUSTILA	MILENIUM 00-08		30001726.MPG								MILENIUM 00-08		3:36.450	0:00.339	3:34.702	0:20.350									3:28.427	0		67		A					128	MPEG L3-44SP					-31568	70663117	1154774292
ALEKSANDRA RADOVIC				KARTA ZA JUG	MILENIUM 00-08		30001727.MPG								MILENIUM 00-08		4:28.146	0:00.210	4:27.673	0:28.154									4:21.454	0		66		A					128	MPEG L3-44SP					-31568	619903868	1154774298
ALEKSANDRA RADOVIC				NOVI DAN	MILENIUM 00-08		30001731.MPG								MILENIUM 00-08		4:16.235	0:00.240	4:15.178	0:48.104									4:10.359	0		67		A					128	MPEG L3-44SP					-31568	741628939	1154774360
ALEKSANDRA RADOVIC				NE VERUJEM DA ME NE VOLIS	MILENIUM 00-08		30001729.MPG								MILENIUM 00-08		4:54.373	0:00.369	4:52.706	0:26.756									4:44.979	0		65		A					128	MPEG L3-44SP					-31568	431817447	1154774322
ALEKSANDRA RADOVIC				NECU PLAKATI	MILENIUM 00-08		30001730.MPG								MILENIUM 00-08		3:02.778	0:00.515	3:01.150	0:29.929									2:59.976	0		66		A					128	MPEG L3-44SP					-31568	1911293884	1154774328
ALEKSANDRA RADOVIC				AKO POGAZIS LAZ	RECURENT 08-14		30001723.MPG								RECURENT 08-14		3:42.175	0:01.044	3:39.507	0:17.755									3:35.504	0		62		A					256	MPEG L3-44SP					-31568	-226109432	1354875882
ALEN HRZICA				NEKA TE ODVEDE	MILENIUM 00-08		30001551.MPG								MILENIUM 00-08		3:37.417	0:00.170	3:35.464	0:15.499									3:28.106	0		63		A					128	MPEG L3-44JP					-31568	618525820	1089431056
ALEN HRZICA				KAKO BI NAM DOBRO BILO	MILENIUM 00-08		30001516.MPG								MILENIUM 00-08		3:33.629	0:00.468	3:32.237	0:21.893									3:28.354	0		63		A					192	MPEG L3-44JP					-31568	129016372	1145212300
ALEN ISLAMOVIC				MRTVO HLADNO	MILENIUM 00-08		30001737.MPG								MILENIUM 00-08		4:33.737	0:00.000	4:30.681	0:13.727									4:22.380	0		64		A					128	MPEG L3-44SP					-31568	2104826633	1141465869
ALEN ISLAMOVIC				HEROJ	MILENIUM 00-08		30001736.MPG								MILENIUM 00-08		2:46.844	0:00.000	2:46.844										2:38.765	0		64		A					128	MPEG L3-44SP					-31568	-557415721	1410263207
ALEN ISLAMOVIC				30 KVADRATA	MILENIUM 00-08		30001738.MPG								MILENIUM 00-08		4:34.625	0:00.000	4:31.775	0:30.125									4:23.082	0		63		A					128	MPEG L3-44SP					-31568	586134208	1141466089
ALEN SLAVICA				STOBOM NASAO SAM SRECU	80		30001591.MPG								80		4:24.705	0:00.207	4:21.534	0:16.177									4:12.160	0		73		A					160	MPEG L3-44JP					-31568	1669338074	1138979578
ALEN SLAVICA				NEDOSTAJES MI TI	MILENIUM 00-08		30001740.MPG								MILENIUM 00-08		3:58.584	0:00.000	3:57.963	0:08.224									3:49.009	0		68		A					128	MPEG L3-44SP					-31568	-98699308	1170364473
ALEN SLAVICA				ISPOD JASTUKA	80		30001658.MPG								80		3:59.366	0:00.281	3:54.243	0:34.508									3:50.304	0		68		A					160	MPEG L3-44JP					-31568	-1680552392	1138979885
ALEN SLAVICA				KAD BI SE TI MENE SJETILA	RECURENT 08-14		30002434.MPG								RECURENT 08-14		3:16.197	0:00.000	3:16.197	0:25.188									3:14.953	0		69		A						WAVE-44S					-31568	995160833	1413807911
ALEN SLAVICA				DAO SAM TI DUSU	80		30001636.MPG								80		3:50.563	0:00.180	3:47.794	0:09.122									3:40.315	0		72		A					160	MPEG L3-44JP					-31568	985251301	1138979737
ALEN SLAVICA				TVOJA SJENA	MILENIUM 00-08		30001741.MPG								MILENIUM 00-08		4:03.200	0:00.000	4:02.784	0:16.959									4:00.612	0		67		A					128	MPEG L3-44SP					-31568	2064694577	1172421594
ALEXANDRA PEROVIC				POHVALI ME	MILENIUM 00-08		30001742.MPG								MILENIUM 00-08		3:47.091	0:00.000	3:44.183	0:31.314									3:39.913	0		67		A					192	MPEG L3-44JP					-31568	-493908321	1182103568
ALEXANDRA PEROVIC				PODSTANAR	MILENIUM 00-08		30001743.MPG								MILENIUM 00-08		3:41.161	0:00.000	3:37.634	0:35.348									3:35.797	0		66		A					192	MPEG L3-44JP					-31568	1372483964	1182103568
ALICE COOPER				POISON	80		30002702.MPG								80		4:22.112	0:00.107	4:21.093	0:38.342									4:18.837	0				A					128	MPEG L3-44J				19/11/2014	-31568	-844425591	1227912262
ALISA				LJUBICU TE TAKO	80		30000079.MPG								80		3:23.369	0:00.000	3:21.080	0:31.707									3:15.344	0		69		A					160	MPEG L3-44JP					-31568	599058007	1004874832
ALISA				POSLE 9 GODINA	80		30001744.MPG								80		3:52.097	0:00.000	3:51.135	0:05.091									3:49.680	0		71		A					128	MPEG L3-44J					-31568	-1542707301	1171275972
ALKA VUICA				AKO ODES	90		30000080.MPG								90	ZELJKO BEBEK	3:58.942	0:00.449	3:55.519	0:23.327									3:53.572	0		73		A					128	MPEG L3-44JP					-31568	1473967462	1013536528
ALKA VUJICA				LAZI ME	90		30000081.MPG								90		3:41.273	0:01.037	3:36.729	0:20.998									3:34.688	0		64		A					128	MPEG L3-44JP					-31568	-765888051	931570350
ALKA VUJICA				VARALICA	90		30000082.MPG								90		4:05.227	0:00.766	3:57.030	0:27.610									3:53.579	0		64		A					128	MPEG L3-44JP					-31568	889982202	943422258
ALLANAH MYLES				BLACK VELVET	80		30002619.MPG								80		4:49.180	0:00.000	4:43.775	0:23.292									4:30.769	0				A					192	MPEG L3-44JP				23/11/2014	-31568	1962363342	1163697398
ALLEGRO BEND				KASNO JE	RECURENT 08-14		30000083.MPG								RECURENT 08-14		3:41.361	0:00.000	3:41.361	0:12.661									3:30.902	0		65		A					160	MPEG L3-44JP					-31568	-1938477809	1102594116
ALLEGRO BEND				ALLEGRO BAND - PESMA O NAMA	MILENIUM 00-08		30000046.MPG								MILENIUM 00-08		3:21.853	0:00.173	3:18.473	0:13.284									3:14.283	0		65		A					192	MPEG L3-44SP					-31568	1119849296	1126184806
ALMA CARDZIC				NI MRVA LJUBAVI	MILENIUM 00-08		30000085.MPG								MILENIUM 00-08		3:01.890	0:00.000	2:59.700	0:25.651									2:57.420	0		64		A					128	MPEG L3-44JP					-31568	-1541336820	992590912
ALMA CARDZIC				TI SI MI BOL	90		30001745.MPG								90		4:13.884	0:00.368	4:09.255	0:10.045									4:04.282	0		65		A					128	MPEG L3-44JP					-31568	-189193987	1145872751
ALMA CARDZIC				DAJ MI SEBE	MILENIUM 00-08		30000084.MPG								MILENIUM 00-08		4:04.610	0:00.000	4:02.449	0:10.349									4:01.108	0		64		A					128	MPEG L3-44JP					-31568	1696254479	992590884
ALMA CARDZIC				BUDI MUSKO	90		30001746.MPG								90		3:21.247	0:00.346	3:17.253	0:07.505									3:15.841	0		64		A					128	MPEG L3-44SP					-31568	1943280733	1146230678
ALOE BLACC				I NEED A DOLLAR	RECURENT 08-14		30002633.MPG								RECURENT 08-14		4:03.490	0:00.457	4:01.595	0:11.025									3:56.578	0				A					320	MPEG L3-44SP				23/11/2014	-31568	-1449553258	1305021105
AMADEUS BAND				ZATO STO ZNAM	MILENIUM 00-08		30001747.MPG								MILENIUM 00-08		3:04.067	0:01.009	3:00.926	0:09.514									2:58.619	0		67		A					192	MPEG L3-44JP					-31568	-697081234	1200039786
ANA				KAD SUNCE ZADJE	MILENIUM 00-08		30000066.MPG								MILENIUM 00-08		3:32.558	0:00.000	3:29.982	0:13.821									3:28.650	0		64		A					128	MPEG L3-44SP					-31568	-1308215559	1088600380
ANA MILENKOVIC				NOCAS MI SRCE PATI	RECURENT 08-14		30001756.MPG								RECURENT 08-14		3:55.911	0:00.000	3:55.304	0:18.669									3:53.141	0		62		A					320	MPEG L3-44SP					-31568	1849812250	1306336086
ANA MILENKOVIC				NEMAM GDE	RECURENT 08-14		30001749.MPG								RECURENT 08-14		3:21.377	0:00.000	3:19.431	0:14.988									3:18.563	0		65		A					128	MPEG L3-44JP					-31568	-537578636	1293802935
ANA MILENKOVIC				BEZ TEBE	RECURENT 08-14		30001757.MPG								RECURENT 08-14		3:45.750	0:00.176	3:41.982	0:15.653									3:38.091	0		64		A					320	MPEG L3-44J					-31568	975245919	1271323528
ANA MILENKOVIC				PERFECT MATCH	RECURENT 08-14		30001748.MPG								RECURENT 08-14		3:26.863	0:00.000	3:22.921	0:08.265									3:21.300	0		63		A					128	MPEG L3-44JP					-31568	40409657	1293802808
ANA MILENKOVIC				DA SE LJUBIMO	RECURENT 08-14		30001750.MPG								RECURENT 08-14		3:32.953	0:00.000	3:32.563	0:15.183									3:31.729	0		64		A					320	MPEG L3-44SP					-31568	-1445902884	1342524869
ANASTACIA				I'M OUTTA LOVE	MILENIUM 00-08		30002629.MPG								MILENIUM 00-08		4:03.103	0:00.247	4:00.757	0:35.732									3:44.605	0				A					128	MPEG L3-44JP				23/11/2014	-31568	1533251286	1186949096
ANA STAJDOHAR				NEKO KAO TI	RECURENT 08-14		30001751.MPG								RECURENT 08-14		3:42.466	0:00.522	3:41.334	0:22.481									3:39.765	0		64		A					128	MPEG L3-44JP					-31568	996979925	1371116761
ANA STAJDOHAR				U MRAKU	RECURENT 08-14		30001752.MPG								RECURENT 08-14		3:00.221	0:00.070	2:59.318	0:23.156									2:54.659	0		67		A					320	MPEG L3-44SP					-31568	2142877632	1378556179
ANA STANIC				TAJ KOJI ZNA	RECURENT 08-14		30000093.MPG								RECURENT 08-14		3:37.286	0:00.000	3:36.042	0:01.804									3:28.313	0		65		A					128	MPEG L3-44SP					-31568	-1790398813	946346894
ANA STANIC				VELIKO A	MILENIUM 00-08		30000096.MPG								MILENIUM 00-08		3:31.364	0:00.000	3:31.138	0:21.362									3:27.164	0		65		A					128	MPEG L3-44JP					-31568	-920198830	1082464486
ANA STANIC				TAMNO NEBO	90		30000094.MPG								90		3:22.004	0:00.000	3:15.779	0:04.431									3:09.899	0		66		A					160	MPEG L3-44JP					-31568	1939908823	1076324394
ANA STANIC				20,30 GODINA	MILENIUM 00-08		30000086.MPG								MILENIUM 00-08		4:31.394	0:00.000	4:26.867	0:09.356									4:18.064	0		63		A					128	MPEG L3-44JP					-31568	2145454123	1024219994
ANA STANIC				VISE NISI MOJ	90		30001465.MPG								90		3:51.340	0:00.036	3:42.224	0:14.392									3:33.742	0		64		A					320	MPEG L3-44J					-31568	1100342762	1205516442
ANA STANIC				SUNCAN DAN	MILENIUM 00-08		30000092.MPG								MILENIUM 00-08		3:45.018	0:00.178	3:40.029	0:15.691									3:35.004	0		64		A					160	MPEG L3-44JP					-31568	1315548816	1076324236
ANA STANIC				TRAG LJUBOMORE	MILENIUM 00-08		30000095.MPG								MILENIUM 00-08		3:45.941	0:00.000	3:45.525	0:20.711									3:39.188	0		65		A					128	MPEG L3-44JP					-31568	1688867577	1082464536
ANA STANIC				MOLILA SAM ANDELE	90		30000089.MPG								90		3:55.337	0:00.000	3:53.993	0:50.707									3:48.092	0		67		A					128	MPEG L3-44JP					-31568	1987324252	992949458
ANA STANIC				I TO JE LJUBAV	RECURENT 08-14		30001576.MPG								RECURENT 08-14		3:37.312	0:00.034	3:32.322	0:16.379									3:29.206	0		62		A					320	MPEG L3-44J					-31568	1077352773	1205516452
ANA STANIC				VIDIM TE KAD	90		30000097.MPG								90		3:57.662	0:00.000	3:56.491	0:05.400									3:48.149	0		67		A					128	MPEG L3-44SP					-31568	217284169	946347108
ANA STANIC				GRAD	90		30000088.MPG								90		3:40.342	0:00.000	3:37.527	0:16.055									3:32.296	0		65		A					128	MPEG L3-44J					-31568	-1008837071	908915932
ANA STANIC				PREZIVECU	MILENIUM 00-08		30002190.MPG								MILENIUM 00-08		3:14.280	0:04.474	3:10.871	0:16.743									3:07.431	0		62		A					128	MPEG L3-44JP					-31568	-262124688	1231174785
ANA STANIC				AUTOPUT	MILENIUM 00-08		30000087.MPG								MILENIUM 00-08		3:55.710	0:00.000	3:53.249	0:13.850									3:46.268	0		66		A					128	MPEG L3-44JP					-31568	1643965887	1024219348
ANA STANIC				NADJI ME	MILENIUM 00-08		30000090.MPG								MILENIUM 00-08		3:33.846	0:00.000	3:33.702	0:15.916									3:31.993	0		64		A					128	MPEG L3-44JP					-31568	662002530	1082464844
ANA STANIC				POGRESAN	MILENIUM 00-08		30000091.MPG								MILENIUM 00-08		3:54.718	0:00.156	3:54.289	0:11.401									3:50.758	0		67		A					128	MPEG L3-44JP					-31568	-55727271	1082464632
ANA STANIC				NEPOPRAVLJIVA	RECURENT 08-14		30001503.MPG								RECURENT 08-14		4:28.173	0:00.000	4:21.816	0:21.642									4:15.302	0		64		A					320	MPEG L3-44J					-31568	425098594	1205516444
ANA STANIC				LUDA	RECURENT 08-14		30001626.MPG								RECURENT 08-14		3:52.751	0:00.583	3:45.950	0:13.567									3:44.236	0		66		A					320	MPEG L3-44J					-31568	-1353717054	1206524355
ANA STANIC				PESMA ZA KRAJ	RECURENT 08-14		30001755.MPG								RECURENT 08-14		4:02.211	0:00.000	4:00.447	0:02.865									3:56.423	0		59		A					256	MPEG L3-44SP					-31568	-1536021165	1413807998
ANA STANIC				OVAJ DAN	RECURENT 08-14		30001754.MPG								RECURENT 08-14		3:25.035	0:00.128	3:24.018	0:24.096									3:21.608	0		66		A					128	MPEG L3-44JP					-31568	-1148316866	1395641052
ANA STANIC				PAZI STA SANJAS	RECURENT 08-14		30001753.MPG								RECURENT 08-14		3:23.441	0:00.191	3:19.697										3:13.641	0		66		A					320	MPEG L3-44SP					-31568	-1002985306	1271576336
ANDJELA				IMA LI NADE ZA NAS	MILENIUM 00-08		30000098.MPG								MILENIUM 00-08	DRAZEN ZECIC	3:39.585	0:00.179	3:38.453	0:12.911									3:35.844	0		65		A					128	MPEG L3-44J					-31568	-597794339	1167322279
ANDREA CUBRIC				SVJETLA	MILENIUM 00-08		30001514.MPG								MILENIUM 00-08		3:54.036	0:00.000	3:48.703	3:49.183									3:44.101	0		68		A					192	MPEG L3-44JP					-31568	1964902851	1144182318
ANDREA CUBRIC				TI SI DOBAR RAZLOG	MILENIUM 00-08		30001542.MPG								MILENIUM 00-08		3:12.397	0:00.000	3:07.845	0:24.042									3:06.978	0		67		A					192	MPEG L3-44JP					-31568	571187293	1144182318
ANDREJ ILIC				PIJAN I LUD	RECURENT 08-14		30001675.MPG								RECURENT 08-14		4:21.067	0:00.213	4:16.175	0:18.076									4:16.068	0		62		A					320	MPEG L3-44SP					-31568	-537642889	1310303738
ANDRIJANA				SAMO DA SI TU	RECURENT 08-14		30001664.MPG								RECURENT 08-14		4:07.906	0:00.000	4:05.272	0:20.779									4:00.436	0		60		A					256	MPEG L3-44SP					-31568	-1593001566	1142497579
ANDRIJANA				NIJEDNA SUZA	MILENIUM 00-08		30001677.MPG								MILENIUM 00-08		2:51.184	0:00.000	2:51.184	0:08.974									2:48.848	0		59		A					256	MPEG L3-44SP					-31568	693973099	1142497617
ANDRIJANA				KRILA ANDJELA	MILENIUM 00-08		30001543.MPG								MILENIUM 00-08		3:40.581	0:00.000	3:37.064	0:23.721									3:36.070	0		63		A					256	MPEG L3-44SP					-31568	-1242410870	1142497296
ANDRIJANA  BOZOVIC				MOJA ZELJO NAJVECA	MILENIUM 00-08		30001505.MPG								MILENIUM 00-08		3:48.424	0:00.000	3:47.109	0:09.127									3:42.992	0		61		A					256	MPEG L3-44SP					-31568	1266999331	1142497121
